,Age,Credit amount,Duration,Purpose,Risk,Predicted_risk,Predicted_prob_risk
0,67,1169,6,radio/TV,0,0,0.08382861414147445
1,22,5951,48,radio/TV,1,1,0.6499900138950617
2,49,2096,12,education,0,0,0.2607919847662834
3,45,7882,42,furniture/equipment,0,1,0.5148568265255546
4,53,4870,24,car,1,1,0.7088487294146683
5,35,9055,36,education,0,1,0.5332524718792482
6,53,2835,24,furniture/equipment,0,0,0.34223608705400366
7,35,6948,36,car,0,0,0.33907881358289466
8,61,3059,12,radio/TV,0,0,0.2277619516181955
9,28,5234,30,car,1,1,0.6109305505525959
10,25,1295,12,car,1,1,0.7470169390255945
11,24,4308,48,business,1,1,0.8035557437060895
12,22,1567,12,radio/TV,0,1,0.6026990943305983
13,60,1199,24,car,1,1,0.5801411053193923
14,28,1403,15,car,0,1,0.5437575166621665
15,32,1282,24,radio/TV,1,1,0.6101032336973737
16,53,2424,24,radio/TV,0,0,0.2514911579187705
17,25,8072,30,business,0,1,0.7843360383775442
18,44,12579,24,car,1,1,0.7091871491147576
19,31,3430,24,radio/TV,0,0,0.494097314943508
20,48,2134,9,car,0,0,0.2091611701101113
21,44,2647,6,radio/TV,0,0,0.10074971418735061
22,48,2241,10,car,0,0,0.21228932279818344
23,44,1804,12,car,0,0,0.35126901809763156
24,26,2069,10,furniture/equipment,0,0,0.41886802145142765
25,36,1374,6,furniture/equipment,0,0,0.17893378797990375
26,39,426,6,radio/TV,0,0,0.07193534734379396
27,42,409,12,radio/TV,0,0,0.2204366549876347
28,34,2415,7,radio/TV,0,0,0.1043078627089331
29,63,6836,60,business,1,1,0.7184939525842351
30,36,1913,18,business,0,0,0.4348326433030815
31,27,4020,24,furniture/equipment,0,1,0.6861003277652702
32,30,5866,18,car,0,0,0.3955720212847663
33,57,1264,12,business,0,0,0.32765892229716154
34,33,1474,12,furniture/equipment,0,0,0.3940376708500566
35,25,4746,45,radio/TV,1,1,0.7106884648184724
36,31,6110,48,education,0,0,0.4604714512428484
37,37,2100,18,radio/TV,1,0,0.40941823935586574
